排名	外文名称	中文名称	国家或地区
1	California Institute of Technology 	加州理工学院	美国
2	Harvard University 	哈佛大学	美国
2	University of Oxford 	牛津大学	英国
4	Stanford University 	斯坦福大学	美国
5	Massachusetts Institute of Technology 	麻省理工学院	美国
6	Princeton University	普林斯顿大学	美国
7	University of Cambridge 	剑桥大学	英国
8	University of California, Berkeley 	加州大学伯克利分校	美国
9	University of Chicago 	芝加哥大学	美国
10	Imperial College London 	帝国理工学院	英国
11	Yale University 	耶鲁大学	美国
12	University of California, Los Angeles 	加州大学洛杉矶分校	美国
13	Columbia University 	哥伦比亚大学	美国
14	ETH Zürich – Swiss Federal Institute of Technology Zürich 	瑞士联邦理工学院-苏黎世	瑞士
15	Johns Hopkins University 	约翰.霍普金斯大学	美国
16	University of Pennsylvania 	宾夕法尼亚大学	美国
17	Duke University 	杜克大学	美国
18	University of Michigan 	密歇根大学	美国
19	Cornell University 	康奈尔大学	美国
20	University of Toronto 	多伦多大学	加拿大
21	University College London 	伦敦大学学院	英国
22	Northwestern University 	西北大学	美国
23	University of Tokyo 	东京大学	日本
24	Carnegie Mellon University 	卡耐基梅隆大学	美国
25	University of Washington 	华盛顿大学	美国
26	National University of Singapore 	新加坡国立大学	新加坡
27	University of Texas at Austin 	德克萨斯州大学奥斯汀分校	美国
28	Georgia Institute of Technology 	佐治亚理工学院	美国
29	University of Illinois at Urbana Champaign 	伊利诺伊大学厄巴纳-香槟分校	美国
30	University of Wisconsin-Madison 	威斯康辛麦迪逊大学	美国
31	University of British Columbia 	英属哥伦比亚大学	加拿大
32	London School of Economics and Political Science 	伦敦政治经济学院	英国
33	University of California, Santa Barbara 	加州大学圣芭芭拉分校	美国
34	University of Melbourne 	墨尔本大学	澳大利亚
35	McGill University 	麦吉尔大学	加拿大
36	Karolinska Institute 	卡罗林斯卡学院	瑞典
37	École Polytechnique Fédérale de Lausanne	洛桑联邦高等工业学院	瑞士
38	King's College London 	伦敦大学国王学院	英国
39	University of Edinburgh 	爱丁堡大学	英国
40	New York University 	纽约大学	美国
40	University of California, San Diego 	加州大学圣迭戈分校	美国
42	Washington University in St Louis 	圣路易斯华盛顿大学	美国
43	University of Hong Kong 	香港大学	中国香港
44	Seoul National University 	韩国首尔国立大学	韩国
45	Peking University 	北京大学	中国
46	University of Minnesota 	明尼苏达大学	美国
47	University of North Carolina at Chapel Hill 	北卡罗来纳州大学教堂山分校	美国
48	Australian National University 	澳大利亚国立大学	澳大利亚
49	Pennsylvania State University 	宾州州立大学	美国
50	Boston University 	波士顿大学	美国
50	Tsinghua University 	清华大学	中国
52	Brown University 	布朗大学	美国
52	University of California, Davis 	加州大学戴维斯分校	美国
52	Kyoto University 	京都大学	日本
55	Ludwig-Maximilians-Universität München	慕尼黑大学	德国
56	Korea Advanced Institute of Science and Technology 	韩国先进科技学院	韩国
57	Hong Kong University of Science and Technology 	香港科技大学	中国香港
58	University of Manchester 	曼彻斯特大学	英国
59	Ohio State University 	俄亥俄州立大学	美国
60	Pohang University of Science and Technology 	浦项科技大学	韩国
61	Katholieke Universiteit Leuven 	比利时天主教鲁汶大学	比利时
62	Purdue University 	普渡大学	美国
63	Georg-August-Universität Göttingen 	哥廷根大学	德国
63	University of Queensland Australia 	昆士兰大学	澳大利亚
65	École Normale Supérieure 	巴黎高等师范大学	法国
65	Rice University 	莱斯大学	美国
67	Leiden University 	莱顿大学	荷兰
68	Universität Heidelberg 	海德堡大学	德国
69	Delft University of Technology 	代尔夫特理工大学	荷兰
70	École Polytechnique 	巴黎高等理工学院	法国
70	University of Southern California 	南加利福尼亚大学	美国
72	University of Sydney 	悉尼大学	澳大利亚
73	Erasmus University Rotterdam 	鹿特丹大学	荷兰
74	Universität Basel 	巴塞尔大学	瑞士
74	Utrecht University 	乌特列支大学	荷兰
76	Nanyang Technological University 	南洋理工大学	新加坡
77	Wageningen University and Research Center 	瓦格宁根大学	荷兰
78	University of Pittsburgh 	匹兹堡大学	美国
79	University of Bristol 	布里斯托大学	英国
80	Durham University 	杜伦大学	英国
80	Emory University 	埃默里大学	美国
80	Tufts University 	塔夫斯大学	美国
83	University of Amsterdam 	阿姆斯特丹大学	荷兰
83	Michigan State University 	密歇根州立大学	美国
85	Ghent University 	根特大学	比利时
86	Freie Universität Berlin 	柏林自由大学	德国
87	Technische Universität München 	慕尼黑工业大学	德国
88	Case Western Reserve University 	凯斯西储大学	美国
88	Vanderbilt University 	范德堡大学	美国
90	University of Notre Dame 	圣母大学	美国
91	Monash University 	莫纳什大学	澳大利亚
92	McMaster University 	麦克马斯特大学	加拿大
93	University of California, Irvine 	加州大学欧文分校	美国
94	Humboldt-Universität zu Berlin 	柏林洪堡大学	德国
95	University of Rochester 	罗彻斯特大学	美国
96	Université Pierre et Marie Curie 	巴黎第六大学	法国
97	University of Colorado Boulder 	科罗拉多大学波尔得分校	美国
98	University of Groningen 	格罗宁根大学	荷兰
98	Maastricht University 	马斯特里赫特大学	荷兰
100	University of Helsinki 	赫尔辛基大学	芬兰
100	University of York 	约克大学	英国
102	Royal Holloway, University of London 	伦敦大学皇家霍洛威学院	英国
103	University of Arizona 	亚利桑那大学	美国
103	Rutgers, The State University of New Jersey 	罗格斯，新泽西州立大学	美国
103	Stockholm University 	斯德哥尔摩大学	瑞典
106	Eindhoven University of Technology 	爱因霍芬科技大学	荷兰
106	University of Montreal 	蒙特利尔大学	加拿大
108	University of Maryland, College Park 	马里兰大学帕克分校	美国
109	University of Alberta 	阿尔伯塔大学	加拿大
109	Chinese University of Hong Kong 	香港中文大学	中国香港
111	Uppsala University 	乌普萨拉大学	瑞典
112	University of Sheffield 	谢菲尔德大学	英国
112	University of Virginia 	弗吉尼亚大学	美国
114	University of New South Wales 	新南威尔士大学	澳大利亚
114	Université Paris-Sud 	巴黎第十一大学	法国
114	Queen Mary, University of London 	伦敦大学女王学院	英国
117	University of Glasgow 	格拉斯哥大学	英国
117	KTH Royal Institute of Technology 	瑞典皇家理工学院	瑞典
117	University of St Andrews 	圣安德鲁斯大学	英国
117	Technical University of Denmark 	丹麦科技大学	丹麦
121	University of Sussex 	苏塞克斯大学	英国
121	University of Zürich	苏黎世大学	瑞士
123	Lund University 	隆德大学	瑞典
124	University of Geneva 	日内瓦大学	瑞士
125	Tokyo Institute of Technology 	东京工业大学	日本
126	University of Cape Town 	开普敦大学	南非
126	Dartmouth College 	达特茅斯大学	美国
128	University of Florida 	佛罗里达大学	美国
129	RWTH Aachen University 	亚琛工业大学	德国
129	Trinity College Dublin 	都柏林圣三一学院	爱尔兰
131	Radboud University Nijmegen 	内梅亨大学	荷兰
132	Indiana University 	印第安纳大学	美国
132	Université de Lausanne	洛桑大学	瑞士
132	University of Massachusetts 	马萨诸塞大学	美国
135	Boston College 	波士顿学院	美国
136	University of California, Santa Cruz 	加州大学圣克鲁兹分校	美国
137	Lancaster University 	兰卡斯特大学	英国
138	Aarhus University 	奥胡斯大学	丹麦
139	Colorado School of Mines 	科罗拉多矿业大学	美国
139	University of Leeds 	利兹大学	英国
141	University of Warwick 	华威大学	英国
142	National Taiwan University 	国立台湾大学	中国台湾
143	University of Utah 	犹他大学	美国
144	Osaka University 	大阪大学 	日本
144	VU University Amsterdam 	阿姆斯特丹自由大学	荷兰
146	Arizona State University 	亚利桑那州立大学	美国
146	University of Southampton 	南安普顿大学	英国
148	University of California, Riverside 	加州大学河滨分校	美国
148	University of Exeter 	埃克赛特大学	英国
150	University of Copenhagen 	哥本哈根大学	丹麦
150	Tohoku University 	东北大学	日本
152	Albert-Ludwigs-Universität Freiburg 	弗莱堡大学	德国
153	University of Birmingham 	伯明翰大学	英国
154	Karlsruhe Institute of Technology 	卡尔斯鲁厄大学	德国
155	Université Joseph Fourier, Grenoble	格勒诺布尔第一大学	法国
156	École Normale Supérieure de Lyon 	里昂高等师范学院	法国
157	University of Bern 	伯尔尼大学	瑞士
157	University of Nottingham 	诺丁汉大学	英国
159	Texas A&M University	德克萨斯A&M大学	美国
160	Georgetown University 	乔治城大学	美国
