排名	学校名称	学校英文名	国家/地区	评分
1	麻省理工学院	Massachusetts Institute of Technology	美国	100
2	剑桥大学	University of Cambridge	英国	99.4
2	帝国理工学院	Imperial College London	英国	99.4
4	哈佛大学	Harvard University	美国	99.3
5	牛津大学	University of Oxford	英国	99.2
5	伦敦大学学院	UCL (University College London)	英国	99.2
7	斯坦福大学	Stanford University	美国	98.3
8	加州理工学院	California Institute of Technology (Caltech)	美国	97.1
9	普林斯顿大学	Princeton University	美国	96.6
10	耶鲁大学	Yale University	美国	96.5
11	芝加哥大学	University of Chicago	美国	95.5
12	苏黎世联邦理工学院	ETH Zurich (Swiss Federal Institute of Technology)	瑞士	95.3
13	宾夕法尼亚大学	University of Pennsylvania	美国	94.5
14	哥伦比亚大学	Columbia University	美国	94.1
14	约翰霍普金斯大学	Johns Hopkins University	美国	94.1
16	伦敦大学国王学院	King's College London (KCL)	英国	92.9
17	爱丁堡大学	University of Edinburgh	英国	92.8
17	洛桑联邦理工学院	Ecole Polytechnique Fédérale de Lausanne	瑞士	92.8
19	康奈尔大学	Cornell University	美国	92.6
20	多伦多大学	University of Toronto	加拿大	92.4
21	麦吉尔大学	McGill University	加拿大	91.5
22	新加坡国立大学	National University of Singapore (NUS)	新加坡	91.1
23	密歇根大学安娜堡分校	University of Michigan	美国	90.3
24	巴黎高等师范学院	Ecole normale supérieure, Paris	法国	90.2
25	澳州国立大学	Australian National University	澳大利亚	89.7
25	杜克大学	Duke University	美国	89.7
27	加州大学伯克利分校	University of California, Berkeley (UCB)	美国	89.5
28	香港大学	University of Hong Kong	香港	88.8
29	布里斯托大学	University of Bristol	英国	88.5
30	曼彻斯特大学	The University of Manchester	英国	86.9
31	东京大学	The University of Tokyo	日本	86.7
31	首尔国立大学	Seoul National University	韩国	86.7
33	墨尔本大学	The University of Melbourne	澳大利亚	86.5
34	西北大学	Northwestern University	美国	86
35	巴黎高等理工学院	Ecole Polytechnique	法国	85
36	京都大学	Kyoto University	日本	84.7
37	加州大学洛杉矶分校	University of California, Los Angeles (UCLA)	美国	84.3
37	悉尼大学	The University of Sydney	澳大利亚	84.3
39	南洋理工大学	Nanyang Technological University (NTU)	新加坡	84
40	香港科技大学	The Hong Kong University of Science and Technology	香港	83.3
41	纽约大学	New York University (NYU)	美国	82.5
41	威斯康辛大学麦迪逊分校	University of Wisconsin-Madison	美国	82.5
43	英属哥伦比亚大学	University of British Columbia	加拿大	82.4
43	昆士兰大学	The University of Queensland	澳大利亚	82.4
45	哥本哈根大学	University of Copenhagen	丹麦	82
46	香港中文大学	The Chinese University of Hong Kong	香港	81.9
47	清华大学	Tsinghua University	中国	81.3
48	新南威尔士大学	The University of New South Wales	澳大利亚	81.2
49	海德堡大学	Ruprecht-Karls-Universit?t Heidelberg	德国	81.1
50	阿姆斯特丹大学	University of Amsterdam	荷兰	80.5
51	韩国高等科技学院	KAIST - Korea Advanced Institute of Science & Technology	韩国	79.9
52	慕尼黑大学	Ludwig-Maximilians-Universit?t München	德国	79.8
52	布朗大学	Brown University	美国	79.8
54	慕尼黑工业大学	Technische Universit?t München	德国	79.7
55	大阪大学	Osaka University	日本	79.6
55	格拉斯哥大学	University of Glasgow	英国	79.6
57	北京大学	Peking University	中国	78.8
57	苏黎世大学	University of Zurich	瑞士	78.8
59	加州大学圣地亚哥分校	University of California, San Diego (UCSD)	美国	78.6
